response_timestamp,experience_years,Gender?,Age range?,Location?,Highest level of education?,What type of content writing do you primarily focus on? [Click all that apply],What industries do you primarily write for? [Click all that apply],How do you primarily source your clients? [Click all that apply],What's your current average monthly income from content writing? (Select the range closest to your earnings),What type of clients do you currently serve? ,What percentage of your current workflow involves AI tools?,Which AI do you often use in your workflow? [Click all that apply] ,What do you use AI for? [Click all that apply],How many days in a week do you work?,What are the biggest challenges you currently face as a content writer? [Click all that apply],What skills have become more important in the last 2 years? (Select all that apply),Would you choose content writing as a career if you were starting today?,What has contributed greatly to your success as a content writer?,What has been the most effective strategy for getting your clients? ,What trends do you see shaping content writing in Nigeria over the next 2-5 years and how are you preparing? ,Which content and industry niches do you see the most growth opportunities for content writers? ,What advice would you give to new content writers entering the field now?,How can the content writing community in Nigeria be strengthened?
2024/11/13 6:02:06 AM GMT+1,2-5 years,,18-30,Abuja,,Blog posts;Social media content;Email newsletters;SEO Content,Finance,Social media;Referrals;LinkedIn;Direct pitching,"₦200,000 - ₦500,000 / $500 - $2,000",Both local and international,0-25%,,Generating ideas;Editing content,,Finding high-paying clients;Payment issues,AI tool proficiency;SEO expertise;Content strategy,Yes,Resilience and hard work,Showing up on LinkedIn ,Use of AI ,Web3/Cryptocurrency ,"Learn how to use AI really well, and learn SEO too. ","More FREE workshops, and active communities for content writers"
2024/11/14 11:14:23 AM GMT+1,2 - 4 years,She/Her,18-30,Enugu,Bachelor's Degree,Blog posts;Social media content;Email newsletters;SEO Content;Case studies,SAAS;Technology,LinkedIn;Direct pitching,"₦500,000 - ₦2,000,000",Nigerian companies;International companies,0-25%,Chat GPT;Claude AI;Copy AI;Grammarly;Quillbot,Writing first drafts;Editing content,7 days,Finding high-paying clients;Connectivity issues,AI tool proficiency;SEO expertise;Content strategy,Maybe,Learning. I don't go a week without learning about content or marketing in general.,Building relationships and building an online presence.,Clients want more writes who can do more than write,"Web3, finance, healthcare, creator economy",Know more than how to write,We need more transparency like the foreginers do with their communities
2024/11/14 11:17:42 AM GMT+1,2 - 4 years,She/Her,18-30,Port - Harcourt,Bachelor's Degree,Blog posts;Website content;SEO Content,Technology;Cryptocurrency/Web3,Social media;Referrals;Freelance platforms;LinkedIn,"Below ₦200,000",Nigerian companies,26-50%,Chat GPT;Copilot or poe,Generating ideas,No day for now ,Finding high-paying clients;Connectivity issues,AI tool proficiency,Yes,"My success as a content writer has been shaped by several key factors. 

First, a strong foundation in research allows me to create captivating and , credible content that readers can relate to. At times I use AI to get an idea, I watch videos in YouTube if necessary or I do a mini survey to get insight.

Second, a deep understanding of SEO best practices ensures that my work is not only engaging but also optimized for search engines, helping to drive traffic. 
",To me I think it’s referrals from friends or colleges. For now I have gotten a permanent job just gigs and projects that’s all. ,"Increased Demand for SEO and Digital Marketing Skills: As more businesses shift online, there will be a greater need for SEO-optimized content. Content writers with strong SEO knowledge and the ability to drive organic traffic will be in high demand. I’m continually updating my SEO skills and keeping up with algorithm changes to stay competitive.","Finance 
Web3
","1. Master the Basics of SEO: Even if you’re focusing on creativity, understanding SEO will help your content reach the right audience. Learn about keywords,, and content optimization. SEO knowledge is a critical skill that clients increasingly expect.
2. Write Consistently and Build a Portfolio: The more you write, the better you get. Use freelance platforms or personal projects to build a portfolio that demonstrates your versatility. Even if you’re just starting out, having a few quality pieces will help you land clients or jobs. 
3. Know Your Audience: Tailor your writing style and tone to match your target audience’s needs and preferences. Effective content resonates because it speaks to the audience directly, so always consider who you’re writing for.","Create Networking Opportunities
Establish Training and Mentorship Programs
Develop Online Communities and Forums"
2024/11/14 11:38:02 AM GMT+1,8 - 10 years,She/Her,18-30,Cross River,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters;SEO Content,"SAAS;Finance;Cryptocurrency/Web3;Publishing, Media and Literature",Social media;Referrals,"₦500,000 - ₦2,000,000",Nigerian companies;Both local and international,26-50%,Chat GPT;Claude AI;Grammarly,Generating ideas;Writing first drafts,5 - 6 days,Finding high-paying clients;Connectivity issues;Market saturation,AI tool proficiency;SEO expertise;Data analysis;Content strategy,Yes,"Reading, consistent learning and consuming art, support systems of other writers",,,Finance.,Do the grunt work and keep looking for ways to get better. Build a network and give back to your content writing community.,
2024/11/14 11:46:49 AM GMT+1,2 - 4 years,She/Her,18-30,Osogbo,Bachelor's Degree,Blog posts;Website content;Social media content;SEO Content,Finance;Education;Real estate ,Social media;Freelance platforms;LinkedIn;Telegram ,"₦200,000 - ₦500,000",Both local and international,26-50%,Chat GPT;Grammarly;Quillbot,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients;Meeting deadlines & maintaining high quality standards,AI tool proficiency;SEO expertise;Content strategy,Yes,"Learning from experts, tips other content writing gurus drop from time to time are really helpful, just implement them ","Putting yourself out there, when you apply for a job let the recruiter know you've applied for that role so they'll put you in mind.","AI, a big game changer, just know how to use it. Human written content will forever be needed more. Just know how to use AI to the max and what AI tool works best for you ","Finance , SaaS, B2B, B2C, Tech, Business ","The market isn't over saturated, have a strategy , have an outline which would guide you towards getting your client and content writing requires discipline. Either you have it now or you work towards having it.","If everyone could share the knowledge they have on some certain skills recruiters look out for, from CMS to how to source out your clients "
2024/11/14 11:52:22 AM GMT+1,4 - 6 years,He/Him,18-30,Lagos,Bachelor's Degree,"Blog posts;Website content;Social media content;Technical writing;SEO Content;Whitepapers;Proposals, video scripts, etc. ",Finance;Cryptocurrency/Web3,Referrals;Direct pitching,"₦200,000 - ₦500,000",Both local and international,51-75%,"Chat GPT;Grammarly;Quillbot;Gemini, Grok, etc.",Generating ideas;Writing first drafts;Editing content;,5 - 6 days,Meeting deadlines & maintaining high quality standards,AI tool proficiency;SEO expertise;Data analysis;Content strategy,Yes,Relationships. Work Culture. Excellence. Referrals. Paying attention. ,"Doing the best possible work for the first client. It serves as a strong foundation for everything else. The referrals, pitching your work to other clients, etc. ","AI-content saturation. People joining the niche out of necessity and a possible source of income. Low-quality content saturation. Deep SEO expertise requirement to land better paying jobs. Platform-spevific knowledge to gain an edge in the workspace. There'll be a higher demand for creative/unique writers since many writers will be looking the same. There will be a need for personal sites to host portfolios and credentials for a higher chance at landing a job online. The industry will favour specialists more than generalists. But generalists will have access to more opportunities for work. Etc. How am I preparing? Staying on top of three major legs in the industry: tools, SEO, and knowing how to sell. Thank you.","Finance. Wellness. Tech. Social writing like news, gists, etc.","While you should just start and not overthink anything, gaining platform-specific knowledge and actually knowing your onions around SEO, writing, and presentation will help you last long and be sort after. Continue learning. Our field is ever evolving. And the market will only favour those that move with it. ",Communities. Genuine communities and relationships. Solid training academies too for the niche. 
2024/11/14 11:56:35 AM GMT+1,2 - 4 years,He/Him,18-30,Ogori,Secondary School Certificate,Blog posts;Website content;SEO Content,Cryptocurrency/Web3;Education;SEO ,Freelance platforms;Direct pitching,"Below ₦200,000",Both local and international,0-25%,Grammarly,Editing content,3 - 4 days,Finding high-paying clients,SEO expertise;Content strategy,Yes,Feedbacks from my clients and contributions from close family and friends. ,Speaking with people about what I do so I'm referred when there's an available gig they know I can do. ,"AI tools. 
Even with AI tools, it's necessary for content writers to create content organically and not totally depend on AI. ",Web 3. ,"I'll advise them to keep improving on their skills even while working. Because if they keep sharpening their skills with no experience, they'll never really get better. ",Introducing content writing as courses in our Universities to help aspiring writers to learn about content writing and horn their skills. 
2024/11/14 11:56:40 AM GMT+1,4 - 6 years,He/Him,18-30,Lagos,Higher National Diploma,Blog posts;Website content;SEO Content,SAAS;E-commerce,Referrals,"₦500,000 - ₦2,000,000",Both local and international,26-50%,Grammarly,Sorting data from large pieces or pdfs,5 - 6 days,Connectivity issues;Meeting deadlines & maintaining high quality standards,SEO expertise;Content strategy,Yes,Doing quality work and solid communication habit with clients.,Referrals,"Generalisation will become overrated. 
Writers who are indifferent towards AI will go out of market. 
For writers to stay afloat, they need to upskill (parallel upskill) to provide more value. ",Generally E-commerce. We should get ready to kiss goodbye to writing for solely blog-post-oriented outfits. ,Join a community and be actually good at what you do. Don't be those who rather spend more time on Twitter instead of actually creating value for clients and making money.,"Let's have more communitues
Let these communities organize physical events (enough with the whole online space thingy) and such events should be focused on talking about nuances of content writing business in Nigeria. Not general tech. "
2024/11/14 11:56:56 AM GMT+1,4 - 6 years,He/Him,31-35,Lagos,Bachelor's Degree,Blog posts;Website content;Social media content;Technical writing;SEO Content;Case studies,Technology;Finance;Cryptocurrency/Web3;E-commerce,Social media;Referrals;Freelance platforms;LinkedIn;Direct pitching,"₦500,000 - ₦2,000,000",Nigerian companies;African (non-Nigerian) companies;International companies;Both local and international,0-25%,Chat GPT;Jasper;Grammarly,Generating ideas,5 - 6 days,Finding high-paying clients,SEO expertise;Data analysis;Content strategy,Yes,Learning and continuous writing ,Cold emails ,"One big trend will be niche content. People are looking for specialized info on areas like fintech, e-commerce, and crypto. Nigeria's tech scene is growing fast, and it’s a natural fit. Picking a few niches and staying updated is key; it’s good to dig deep into areas where I can add real value. Another trend is content in local languages and reflecting cultural context, as people connect better with content that feels authentic.

Video and audio are also getting huge. With YouTube, TikTok, and podcasts, more people are watching and listening, so writers who can script for these formats will have an edge. I’m brushing up on video and podcast scriptwriting, along with SEO for multimedia, as data-driven content is also in demand. Knowing SEO tools and how to incorporate data into writing can make a big difference.

Remote work is a big shift, too, with more companies open to hiring remote freelancers, especially for international work. Building an online presence and a solid portfolio is crucial, so I’m focusing on that. Overall, it’s all about staying adaptable and open to new skills and formats.","Tech, Crypto/Web3","For new content writers, focusing on a niche you're passionate about, like tech or finance, can help you stand out. Understanding SEO is essential for creating content that ranks well and reaches your audience. It's also important to hone your research skills to ensure the content is credible and well-supported by reliable sources.

Being adaptable is key, as content writing spans blogs, social media, and scripts. Developing a unique voice and writing style will help you make an impact, while consistency in writing will improve your skills. Building a portfolio, even through personal projects or guest posts, will showcase your versatility.

Staying updated on industry trends and tools is crucial, as the content landscape evolves quickly. Also, learning how to manage client relationships, by communicating effectively and delivering on time, will help build your reputation. Finally, continuous learning, whether through courses or workshops, ensures you stay competitive in an ever-changing field.","To strengthen the content writing community in Nigeria, there needs to be more opportunities for collaboration and skill development. Creating platforms for writers to connect, share ideas, and mentor one another can build a stronger support network. Regular webinars, workshops, and conferences would help writers stay updated on industry trends and improve their skills. Providing affordable training in areas like SEO and content marketing would also help writers stay competitive globally.

Developing job boards and platforms to connect Nigerian writers with local and international opportunities is essential for growth. Recognition of local talent through awards and features can inspire more people to pursue writing, while online communities offer a space for feedback and personal brand-building. Encouraging content in local languages would also enrich the digital content space, preserving cultural heritage and expanding reach. By focusing on networking, training, and recognition, Nigeria’s content writing community can thrive."
2024/11/14 11:58:53 AM GMT+1,8 - 10 years,He/Him,36-40,Ibadan,Masters' Degree,Blog posts;Social media content;SEO Content;Whitepapers;Case studies,Technology;Healthcare;Education,Social media;Referrals,"₦200,000 - ₦500,000",International companies,0-25%,Chat GPT;Grammarly,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients;Competition from AI;Market saturation,SEO expertise;Data analysis;Content strategy,Yes,"Clients reviews, success and referrals",Referrals,AI usage for almost all contents,Healthcare,Learn adequate skills to get plagiarized free content,Through social interaction 
